Subject,Grade,Standard,Prepared Graduate 1,Prepared Graduate 2,Prepared Graduate 3,Prepared Graduate 4,Prepared Graduate 5,Grade Level Expectation,GLE Code,Subheading,Statement
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Observe, describe and discuss properties of materials and transformation of substances."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Seek answers to questions and test predictions using simple experiments.
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Supportive Teaching Practices/Adults May:,"Provide opportunities for children to explore motion (e.g., fans and scarves, ramps and toy cars)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Supportive Teaching Practices/Adults May:,"Provide opportunities for children to investigate energy (e.g., heat, light, sound; investigate shadows, sort musical instruments and discuss different sounds made by particular movements; explore transparent properties on a light table)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Supportive Teaching Practices/Adults May:,"Provide opportunities for children to record observations in the changes of matter (e.g., ice melting at the sensory table)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Supportive Teaching Practices/Adults May:,Facilitate inquiry by asking how and why questions to encourage children to make predictions and chart results.
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Examples of Learning/Children May:,Discover the higher the incline in a ramp (in block area) makes the car go farther.
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Examples of Learning/Children May:,Explain that some magnets pull away and some come together.
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Examples of Learning/Children May:,"Identify when a change in matter occurs (ice melting, icicles forming, etc.)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Examples of Learning/Children May:,"Identify how and why things move (e.g., using a balance, pushing structures over, how fast different objects move)."
Science,Preschool,1. Physical Science,"1. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding structure, properties and interactions of matter.",,,,,2. Recognize there are cause - and - effect relationships related to matter and energy.,SC.P.1.2,Examples of Learning/Children May:,Ask questions related to why things happen.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Observe, describe and discuss living things."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Observe similarities and differences in the needs of living things.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Observe and describe how natural habitats provide for the basic needs of plants and animals with respect to shelter, food, water, air and light."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Ask and pursue questions through simple investigations and observations of living things.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Collect, describe, and record information about living things through discussion, drawings, graphs, technology and charts."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Identify differences between living and nonliving things.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Supportive Teaching Practices/Adults May:,Provide opportunities for children to engage with live animals and plants along with toy/stuffed animals and plans and photographs/pictures throughout the classroom.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Supportive Teaching Practices/Adults May:,"Read books about living and nonliving things, inquire about how we know if something is living or not."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Supportive Teaching Practices/Adults May:,"Display worm farms, bird feeders, caterpillar/butterfly habitat, fish tank for observation."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Supportive Teaching Practices/Adults May:,"Watching the fish, observe and discuss the movement of the gills, explaining this is how fish breathe under water."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Supportive Teaching Practices/Adults May:,"Provide opportunities for children to use different materials (technology, journals, drawings, etc.) to observe living things."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Examples of Learning/Children May:,"Match photographs of different habitats to the things that occupy them (i.e., worms live in the ground; fish live in water)."
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Examples of Learning/Children May:,Sequence a series of photographs/pictures of a plant's growth.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Examples of Learning/Children May:,Sequence a series of photographs/pictures of the life cycle of a butterfly from caterpillar to chrysalis/cocoon to butterfly.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Examples of Learning/Children May:,Document the life cycle of living thing.
Science,Preschool,2. Life Science,"5. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how individual organisms are configured and how these structures function to support life, growth, behavior and reproduction.",,,,,1. Recognize that living things have unique characteristics and basic needs that can be observed and studied.,SC.P.2.1,Examples of Learning/Children May:,"Recognize that living things require water, air, food."
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Identify the common needs such as food, air and water of familiar living things."
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Predict, explain and infer patterns based on observations and representations of living things, their needs and life cycles."
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Observe and document changes in living things over time using different modalities such as drawing, dramatization, describing or using technology."
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Recognize that plants and animals grow and change.
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Supportive Teaching Practices/Adults May:,Provide opportunities for observation and investigation of the characteristics of animals and plants over time.
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Supportive Teaching Practices/Adults May:,Take nature walks.
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Supportive Teaching Practices/Adults May:,Encourage children to identify similarities and differences between living things and document what each need to survive.
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Supportive Teaching Practices/Adults May:,Provide opportunities for children to explore available outdoor habitats.
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Supportive Teaching Practices/Adults May:,"Provide opportunities for children to help feed the classroom pet, water the plants, etc."
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Examples of Learning/Children May:,"Identify and describe through a variety of modalities the changes in living things overtime (e.g., bears hibernate when it is cold outside)."
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Examples of Learning/Children May:,Investigate living things by caring for animals and plants in the classroom.
Science,Preschool,2. Life Science,6. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how living systems interact with the biotic and abiotic environment.,,,,,2. Recognize that living things develop in predictable patterns.,SC.P.2.2,Examples of Learning/Children May:,"Document the human life cycle - babies grow into children, children grow to adults, adults get older."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Use senses and tools, including technology, to investigate materials, and observe processes and relationships to gather information and explore the environment."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:",Inquire about the natural and physical environment.
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Observe and discuss common properties, differences and comparisons among objects."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Participate in simple investigations to form hypothesis, gather observations, draw conclusions."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Record observations using words, drawings, maps, graphs and charts."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Supportive Teaching Practices/Adults May:,"Engage children in exploring natural objects such as small rocks, soil, leaves, sand and other objects."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Supportive Teaching Practices/Adults May:,Provide soil and containers for planting.
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Supportive Teaching Practices/Adults May:,"Display rocks, stones and pebbles of different shapes and colors for sorting."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Supportive Teaching Practices/Adults May:,Ask questions and make comments that lead children to observe closely and think about how they could find out more.
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Supportive Teaching Practices/Adults May:,Encourage children to compare and contrast types of earth materials.
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Supportive Teaching Practices/Adults May:,Encourage children to ask question and seek answers through active exploration
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Supportive Teaching Practices/Adults May:,"Provide a variety of materials for children to document observations (e.g., tablets, computers, notebooks, poster paper)."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Examples of Learning/Children May:,Ask and pursue questions through simple investigations and observations of natural objects.
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Examples of Learning/Children May:,"Explore rocks, soil and sand using a magnifier."
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Examples of Learning/Children May:,Use sense and simple tools to explore earth materials.
Science,Preschool,3. Earth and Space Science,11. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding how human activities and the Earth's surface processes interact.,,,,,1. The acquisition of concepts and facts related to the Earth materials and their uses.,SC.P.3.1,Examples of Learning/Children May:,Discuss evidence from investigations and observations.
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Predict, explain and infer patterns based on observations and evidence."
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Articulate findings through a variety of modalities (e.g., drawings, words, dramatizations)."
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Recognizes familiar elements of the natural world and demonstrates an understanding that these may change over time (e.g., sun and moon, weather)."
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,"By the end of the preschool experience (approximately 60 months/5 years old), students may:","Observe and describe patterns observed over the course of a number of days and nights (e.g., differences in the activities or appearance of plants and animals)."
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Supportive Teaching Practices/Adults May:,Take nature walks to observe weather conditions.
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Supportive Teaching Practices/Adults May:,Talk about weather conditions daily.
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Supportive Teaching Practices/Adults May:,"Provide opportunities to sort pictures of activities, clothing and toys according to the types of weather and seasons they correspond to (e.g., sled with snow, sunglasses in summer)."
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Supportive Teaching Practices/Adults May:,"Talk about things that can be found in the day or night sky (e.g., sun, moon, clouds, stars)."
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Examples of Learning/Children May:,"Match types of clothing or activities to seasonal weather conditions (e.g., we use an umbrella when it is raining; we wear boots when it snows; we wear hats and gloves when it is cold outside)."
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Examples of Learning/Children May:,Discuss current weather events that affect the community.
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Examples of Learning/Children May:,Observe and describe different types of clouds and moon phases.
Science,Preschool,3. Earth and Space Science,9. Students can use the full range of science and engineering practices to make sense of natural phenomena and solve problems that require understanding the universe and Earth's place in it.,,,,,2. The acquisition of concepts and facts related to the natural and physical world and the understanding of naturally occurring relationships.,SC.P.3.2,Examples of Learning/Children May:,"Describe differences in weather patterns and day vs. night via drawing, dramatization or words."
